"Key","Tpl","Line","Cat","Wake"
"home_today_overview","templates/home_dashboard.html","111","主页","看今日主页"
"home_today_diet_overview","templates/home_dashboard.html","121","主页","看今日饮食概览"
"home_today_exercise_overview","templates/home_dashboard.html","131","主页","看今日运动概览"
"home_today_weight_overview","templates/home_dashboard.html","141","主页","看今日体重概览"
"home_today_goal_progress","templates/home_dashboard.html","151","主页","看今日目标进度"
"home_week_overview","templates/home_dashboard.html","161","主页","看本周主页"
"home_month_overview","templates/home_dashboard.html","171","主页","看本月主页"
"home_streak_days","templates/home_dashboard.html","181","主页","看连续记录天数"
"home_today_budget","templates/home_dashboard.html","191","主页","看今日热量预算"
"diet_add_meal","templates/crud_receipt.html","201","饮食","记一餐"
"diet_add_meal_note","templates/crud_receipt.html","211","饮食","记一餐（含备注）"
"diet_backfill","templates/crud_receipt.html","221","饮食","补记饮食"
"diet_backfill_batch","templates/crud_receipt.html","231","饮食","批量补记饮食"
"diet_scan_label","templates/nutrition_label_wizard.html","241","饮食","拍营养表记一餐"
"diet_scan_label_date","templates/nutrition_label_wizard.html","251","饮食","拍营养表补记一餐"
"diet_log_water","templates/crud_receipt.html","261","饮食","记喝水"
"diet_copy_yesterday","templates/crud_receipt.html","271","饮食","复制昨日饮食"
"diet_update_record","templates/crud_receipt.html","281","饮食","改饮食记录"
"diet_update_by_date","templates/crud_receipt.html","291","饮食","改某日饮食"
"diet_delete_record","templates/crud_receipt.html","301","饮食","删饮食记录"
"diet_delete_by_meal","templates/crud_receipt.html","311","饮食","删一餐"
"diet_delete_by_date","templates/crud_receipt.html","321","饮食","删某日饮食"
"diet_delete_by_range","templates/crud_receipt.html","331","饮食","批量删饮食"
"diet_view_today","templates/today_diet.html","341","饮食","看今日饮食"
"diet_view_yesterday","templates/today_diet.html","351","饮食","看昨日饮食"
"diet_view_this_week","templates/today_meals.html","361","饮食","看本周饮食"
"diet_view_last_week","templates/today_meals.html","371","饮食","看上周饮食"
"diet_view_this_month","templates/today_meals.html","381","饮食","看本月饮食"
"diet_view_last_month","templates/today_meals.html","391","饮食","看上月饮食"
"diet_view_7d","templates/today_meals.html","401","饮食","看最近 7 天饮食"
"diet_view_30d","templates/today_meals.html","411","饮食","看最近 30 天饮食"
"diet_view_range","templates/today_meals.html","421","饮食","看某段时间饮食"
"diet_view_water","templates/today_water.html","431","饮食","看今日喝水"
"diet_view_with_note","templates/today_meals.html","441","饮食","看有备注的饮食记录"
"food_search","templates/food_search.html","451","饮食","查食品"
"food_search_category","templates/food_search.html","461","饮食","查食品（按分类）"
"food_add","templates/crud_receipt.html","471","饮食","存食品"
"food_update","templates/crud_receipt.html","481","饮食","改食品"
"food_deprecate","templates/crud_receipt.html","491","饮食","下架食品"
"food_dedupe","templates/dedupe_report.html","501","饮食","看食品库（去重）"
"food_batch_import","templates/batch_import_preview.html","511","饮食","批量导入食品"
"food_batch_validate","templates/batch_import_preview.html","521","饮食","校验批量导入"
"food_source_stats","templates/source_stats.html","531","饮食","看食品来源统计"
"nutrition_ratio","templates/nutrition_ratio.html","541","饮食","看营养结构"
"nutrition_today","templates/today_diet.html","551","饮食","看今日营养"
"nutrition_overview","templates/diet_overview.html","561","饮食","看饮食总览"
"nutrition_detail","templates/nutrition_detail.html","571","饮食","看营养素深度"
"ranking_high_calorie","templates/food_ranking.html","581","饮食","看高热量榜"
"ranking_low_calorie","templates/food_ranking.html","591","饮食","看低热量榜"
"ranking_frequent","templates/food_ranking.html","601","饮食","看频繁吃榜"
"ranking_high_carb","templates/food_ranking.html","611","饮食","看高碳水榜"
"ranking_high_protein","templates/food_ranking.html","621","饮食","看高蛋白榜"
"ranking_all","templates/food_ranking.html","631","饮食","看全部排行榜"
"ranking_high_calorie_30d","templates/food_ranking.html","641","饮食","看高热量榜（最近 30 天）"
"ranking_high_calorie_month","templates/food_ranking.html","651","饮食","看高热量榜（本月）"
"ranking_high_calorie_custom","templates/food_ranking.html","661","饮食","看高热量榜（自定义）"
"ranking_low_calorie_30d","templates/food_ranking.html","671","饮食","看低热量榜（最近 30 天）"
"ranking_low_calorie_month","templates/food_ranking.html","681","饮食","看低热量榜（本月）"
"ranking_low_calorie_custom","templates/food_ranking.html","691","饮食","看低热量榜（自定义）"
"ranking_frequent_30d","templates/food_ranking.html","701","饮食","看频繁吃榜（最近 30 天）"
"ranking_frequent_month","templates/food_ranking.html","711","饮食","看频繁吃榜（本月）"
"ranking_frequent_custom","templates/food_ranking.html","721","饮食","看频繁吃榜（自定义）"
"ranking_high_carb_30d","templates/food_ranking.html","731","饮食","看高碳水榜（最近 30 天）"
"ranking_high_carb_month","templates/food_ranking.html","741","饮食","看高碳水榜（本月）"
"ranking_high_carb_custom","templates/food_ranking.html","751","饮食","看高碳水榜（自定义）"
"ranking_high_protein_30d","templates/food_ranking.html","761","饮食","看高蛋白榜（最近 30 天）"
"ranking_high_protein_month","templates/food_ranking.html","771","饮食","看高蛋白榜（本月）"
"ranking_high_protein_custom","templates/food_ranking.html","781","饮食","看高蛋白榜（自定义）"
"diet_review_week","templates/diet_review.html","791","饮食","饮食复盘（本周）"
"diet_review_month","templates/diet_review.html","801","饮食","饮食复盘（本月）"
"diet_review_90d","templates/diet_review.html","811","饮食","饮食复盘（最近 90 天）"
"diet_review_year","templates/diet_review.html","821","饮食","饮食复盘（今年）"
"diet_review_range","templates/diet_review.html","831","饮食","饮食复盘（自定义时间）"
"meal_dist_breakfast","templates/meal_distribution.html","841","饮食","看早餐（最近 7 天）"
"meal_dist_lunch","templates/meal_distribution.html","851","饮食","看午餐（最近 7 天）"
"meal_dist_dinner","templates/meal_distribution.html","861","饮食","看晚餐（最近 7 天）"
"meal_dist_snack","templates/meal_distribution.html","871","饮食","看加餐（最近 7 天）"
"meal_dist_all","templates/meal_distribution.html","881","饮食","看全部餐别分布（最近 7 天）"
"w_log","templates/weight_log_receipt.html","892","体重","记体重"
"w_log_note","templates/weight_log_receipt.html","903","体重","记体重（含备注）"
"w_backfill","templates/weight_log_receipt.html","914","体重","补录体重"
"w_backfill_batch","templates/weight_batch_receipt.html","925","体重","批量补录体重"
"w_today","templates/weight_dashboard.html","936","体重","看今日体重"
"w_update","templates/crud_receipt.html","947","体重","改体重记录"
"w_update_by_date","templates/crud_receipt.html","958","体重","改某日体重"
"w_delete","templates/crud_receipt.html","969","体重","删体重记录"
"w_delete_by_date","templates/crud_receipt.html","980","体重","删某日体重"
"w_delete_batch","templates/crud_receipt.html","991","体重","批量删体重"
"w_detail_week","templates/weight_history.html","1002","体重","看本周体重"
"w_detail_last_week","templates/weight_history.html","1013","体重","看上周体重"
"w_detail_month","templates/weight_history.html","1024","体重","看本月体重"
